,0
336,0.028432644717395306
337,0.02779250033199787
338,0.02663493510335684
339,0.02544098887592554
340,0.026497664302587508
341,0.02524090837687254
342,0.025799615867435934
343,0.02499887701123953
344,0.02551521882414818
345,0.0246899938210845
346,0.025408839248120783
347,0.027307967096567153
348,0.027717715501785277
349,0.028641847521066667
350,0.02813940290361643
351,0.02893780581653118
352,0.0289954474195838
353,0.02853155564516783
354,0.027198201790452004
355,0.02780857589095831
356,0.029192841611802578
357,0.028130732104182245
358,0.029108995012938975
359,0.02826160453259945
360,0.026371567323803902
361,0.02710642646998167
362,0.027661053463816643
363,0.02772145960479975
364,0.0269892331212759
365,0.027221290022134782
366,0.026342455856502058
367,0.023799710907042027
368,0.026034006476402284
369,0.024330647103488444
370,0.026613744162023067
371,0.026431282237172126
372,0.027230549417436124
373,0.02741954829543829
374,0.027439191378653048
375,0.025347504206001757
376,0.0260269558057189
377,0.025647848658263684
378,0.028710139729082585
379,0.029854850471019746
380,0.027266166172921658
381,0.026214773021638393
382,0.025796610862016678
383,0.028681800328195096
384,0.025625429302453994
385,0.027224153652787207
386,0.02598550096154213
387,0.026611908338963985
388,0.025790135003626348
389,0.027482802607119085
390,0.02711376305669546
391,0.027590545266866683
392,0.0274123914539814
393,0.027876904420554637
394,0.028495644964277745
395,0.029598502069711687
396,0.02926322929561138
397,0.027335799299180508
398,0.02805567216128111
399,0.03180002383887768
